id,category,difficulty,question
1,HTML,Easy,What is the difference between <div> and <span> elements in HTML?
2,HTML,Easy,"Explain the purpose of semantic HTML5 elements like <article>, <section>, and <aside>."
3,HTML,Medium,What are data attributes in HTML5 and how are they used?
4,HTML,Medium,"Explain the difference between local storage, session storage, and cookies."
5,HTML,Hard,How does the HTML5 History API work and what are its use cases?
6,CSS,Easy,What is the box model in CSS? Explain its components.
7,CSS,Easy,"What is the difference between inline, inline-block, and block display properties?"
8,CSS,Medium,Explain CSS Flexbox and its main properties.
9,CSS,Medium,What is CSS Grid and how does it differ from Flexbox?
10,CSS,Hard,Explain CSS specificity and how it determines which styles are applied.
11,CSS,Hard,What are CSS preprocessors like SASS/SCSS? What advantages do they provide?
12,JavaScript,Easy,"What is the difference between var, let, and const in JavaScript?"
13,JavaScript,Easy,Explain what closures are in JavaScript.
14,JavaScript,Medium,What is the event loop in JavaScript and how does it work?
15,JavaScript,Medium,Explain promises and async/await in JavaScript.
16,JavaScript,Medium,What is the difference between == and === in JavaScript?
17,JavaScript,Hard,Explain prototypal inheritance in JavaScript.
18,JavaScript,Hard,What are higher-order functions in JavaScript? Provide examples.
19,JavaScript,Hard,Explain the concept of hoisting in JavaScript.
20,React,Easy,What is JSX in React?
21,React,Easy,What are React components? Explain functional vs class components.
22,React,Medium,Explain the React component lifecycle methods.
23,React,Medium,What are React Hooks? Explain useState and useEffect.
24,React,Medium,What is the Virtual DOM in React and how does it work?
25,React,Hard,Explain React Context API and when to use it.
26,React,Hard,What is Redux and how does it manage state in React applications?
27,Node.js,Easy,What is Node.js and how does it differ from browser JavaScript?
28,Node.js,Medium,Explain the Node.js event-driven architecture.
29,Node.js,Medium,What is Express.js and why is it used?
30,Node.js,Hard,Explain middleware in Express.js and how it works.
31,Database,Easy,What is the difference between SQL and NoSQL databases?
32,Database,Medium,Explain CRUD operations in the context of databases.
33,Database,Medium,What is MongoDB and how does it store data?
34,Database,Hard,Explain database indexing and its impact on performance.
35,REST API,Easy,What is a REST API?
36,REST API,Medium,"Explain the different HTTP methods (GET, POST, PUT, DELETE, PATCH)."
37,REST API,Medium,"What are HTTP status codes? Explain common ones (200, 404, 500, etc.)."
38,REST API,Hard,What is authentication and authorization in REST APIs? Explain JWT.
39,Security,Medium,What is CORS (Cross-Origin Resource Sharing) and why is it important?
40,Security,Medium,Explain XSS (Cross-Site Scripting) attacks and how to prevent them.
41,Security,Hard,What is CSRF (Cross-Site Request Forgery) and how do you protect against it?
42,Performance,Medium,What are some ways to optimize website loading performance?
43,Performance,Medium,Explain lazy loading and code splitting in web applications.
44,Performance,Hard,What is debouncing and throttling in JavaScript?
45,Git,Easy,What is Git and why is it used in web development?
46,Git,Medium,Explain the difference between git merge and git rebase.
47,Git,Medium,What are Git branches and how do you use them?
48,Testing,Medium,What is unit testing and why is it important?
49,Testing,Medium,"Explain the difference between unit testing, integration testing, and end-to-end testing."
50,Testing,Hard,What is Test-Driven Development (TDD)?
51,Advanced,Hard,What is Server-Side Rendering (SSR) vs Client-Side Rendering (CSR)?
52,Advanced,Hard,Explain Progressive Web Apps (PWAs) and their benefits.
53,Advanced,Hard,What is WebSocket and how does it differ from HTTP?
54,Advanced,Hard,Explain microservices architecture in web development.
55,Advanced,Hard,What is GraphQL and how does it differ from REST?
56,TypeScript,Medium,What is TypeScript and what advantages does it provide over JavaScript?
57,TypeScript,Medium,Explain interfaces and types in TypeScript.
58,TypeScript,Hard,What are generics in TypeScript and when should you use them?
59,Build Tools,Medium,What is Webpack and what problem does it solve?
60,Build Tools,Hard,Explain the concept of tree shaking in modern JavaScript bundlers.
61,Responsive Design,Easy,What is responsive web design?
62,Responsive Design,Medium,Explain CSS media queries and mobile-first design.
63,Responsive Design,Medium,What is the viewport meta tag and why is it important for mobile?
64,Browser,Medium,Explain how browsers render web pages (Critical Rendering Path).
65,Browser,Hard,"What is the difference between localStorage, sessionStorage, and IndexedDB?"
66,Next.js,Medium,What is Next.js and what are its key features?
67,Next.js,Hard,Explain Static Site Generation (SSG) vs Server-Side Rendering (SSR) in Next.js.
68,Vue.js,Easy,What is Vue.js and what are its core features?
69,Vue.js,Medium,Explain the Vue.js component lifecycle hooks.
70,Vue.js,Medium,What is Vuex and how does it manage state?
71,Angular,Easy,What is Angular and how does it differ from React and Vue?
72,Angular,Medium,Explain dependency injection in Angular.
73,Angular,Hard,What are RxJS Observables and how are they used in Angular?
74,Accessibility,Medium,What is web accessibility (a11y) and why is it important?
75,Accessibility,Medium,Explain ARIA attributes and their role in accessibility.
76,DevOps,Medium,What is Docker and how is it used in web development?
77,DevOps,Hard,Explain CI/CD pipelines in the context of web development.
78,Modern Web,Medium,What are Web Components and Custom Elements?
79,Modern Web,Hard,Explain Service Workers and their use in PWAs.
80,Modern Web,Hard,What is WebAssembly (WASM) and what are its use cases?
