employee_id,competency,question,answer,human_score
1,Leadership,Tell me about a time you led a challenging project.,"In my previous role as project manager, I faced a critical deadline for software launch. I was responsible for coordinating a team of 10 developers. I implemented daily stand-ups, created detailed timelines, and established clear communication channels. As a result, we delivered the project 2 weeks ahead of schedule with 100% client satisfaction.",4
2,Teamwork,Describe a situation where you worked with a difficult team member.,"I worked with a colleague who often missed deadlines. I scheduled a one-on-one meeting to understand their challenges. I helped them organize their tasks and offered support. We collaborated on a shared timeline and I provided regular check-ins. Eventually, they improved their performance significantly.",3
3,Integrity,Give an example of when you had to make an ethical decision.,"When I noticed accounting irregularities, I faced pressure to overlook them. I reported the issue to my supervisor following company policy. I documented everything thoroughly and cooperated with the investigation. The issue was resolved, and the company strengthened its controls.",3
4,Communication,Tell me about a time you had to present complex information.,I had to present quarterly financial results to non-technical stakeholders. I created visual charts and simplified complex data. I used analogies to explain technical concepts and allowed time for questions. The presentation was well-received and stakeholders made informed decisions.,4
5,Result Oriented,Describe how you exceeded targets in your previous role.,"My target was 50 sales per month, but I achieved 75 by analyzing customer data, identifying high-potential leads, and personalizing my approach. I also improved my follow-up process and built stronger relationships with clients. This resulted in 50% above target performance.",4
6,Problem Solving,Tell me about a complex problem you solved.,"Our production line had recurring quality issues. I analyzed the entire process, identified the root cause in material handling, and designed a new quality control checkpoint. I trained staff on the new procedure and monitored results. Defects decreased by 80%.",4
7,Leadership,Describe your leadership style with examples.,I lead by example and empower my team. I set clear goals and provide resources. I mentor team members and encourage innovation. I celebrate successes and learn from failures together.,2
8,Teamwork,How do you handle conflicts in a team?,I listen to both sides and find common ground. I focus on solutions rather than blame.,1
9,Result Oriented,What strategies do you use to achieve results?,"I set clear goals, track progress, and adjust strategies as needed.",2
10,Communication,Give an example of effective communication.,I communicate clearly and ensure understanding through follow-up.,1
